count_bonus_carres,E,A,C,J,H,a,b,c,d,e,f,h,i,j
1,26825,12565,25549,35795,28043,157879225,1348111249,652751401,1214452801,719580625,224708449,786409849,91050001,1281282025
1,26825,21097,22015,31529,30895,445083409,1228998241,484660225,759157441,719580625,680003809,954501025,210163009,994077841
1,26894,15806,23086,34594,30226,249829636,1387068676,532963396,1006420996,723287236,440153476,913611076,59505796,1196744836
1,26945,19405,24551,32795,29143,376554025,1198793449,602751601,952230601,726033025,499835449,849314449,253272601,1075512025
1,26960,14992,24208,35056,29456,224760064,1369737472,586027264,1088108800,726841600,365574400,867655936,83945728,1228923136
1,27030,9870,25170,36930,28770,97416900,1460916900,633528900,1266732900,730620900,194508900,827712900,324900,1363824900
1,27030,13038,25170,35934,28770,169989444,1388344356,633528900,1194160356,730620900,267081444,827712900,72897444,1291252356
1,27040,14560,22816,35360,30688,211993600,1460921344,520569856,1039737856,731161600,422585344,941753344,1401856,1250329600
1,27250,18010,20542,34070,32606,324360100,1481353636,421973764,840176164,742562500,644948836,1063151236,3771364,1160764900
1,27455,11305,25973,37145,28861,127803025,1458931321,674596729,1300570729,753777025,206983321,832957321,48622729,1379751025
1,27625,9775,26639,37825,28577,95550625,1484234929,709636321,1377226321,763140625,149054929,816644929,42046321,1430730625
1,27625,20225,24875,33425,30125,409050625,1261605625,618765625,972855625,763140625,553425625,907515625,264675625,1117230625
